sex,birth_year,marital_status,religion,job_code,income,region_code
female,1992,5,1,,,1
male,1995,5,1,,,1
female,1967,3,2,951.0,107.0,1
male,1995,5,2,952.0,92.0,1
male,1996,5,2,,,1
female,1953,2,1,951.0,76.8,1
male,1978,1,1,761.0,,1
female,1978,1,1,313.0,193.2,1
female,2008,0,1,,,1
female,2010,0,1,,,1
male,1974,1,2,221.0,468.3,1
female,1979,1,1,313.0,219.1,1
female,2007,0,1,,,1
female,1954,2,1,,,2
male,1944,1,1,,,1
female,1944,1,1,,,1
male,1952,1,2,,,1
female,1956,1,2,,,1
female,1984,1,2,,,5
male,1983,1,1,761.0,300.0,5
male,2010,0,2,,,5
female,2013,0,2,,,5
male,1938,1,1,,,1
female,1948,1,1,,,1
female,1942,2,1,,,1
female,1965,1,2,530.0,240.0,1
female,1994,5,2,521.0,,1
male,1959,1,2,873.0,,1
female,1941,1,1,,,1
male,1940,1,1,,,1
male,1953,1,2,942.0,150.0,1
female,1959,1,2,952.0,,1
male,1932,1,2,,,1
female,1936,1,2,,,1
male,1960,1,1,942.0,166.0,1
female,1963,1,1,951.0,100.0,1
female,1990,5,2,,,1
male,1963,1,1,873.0,,6
female,1990,1,1,,,6
female,2011,0,1,,,6
female,2013,0,1,,,6
male,1977,1,1,411.0,387.5,1
female,1978,1,1,243.0,436.7,1
female,1980,1,2,,,7
female,2006,0,1,,,1
female,1950,2,1,,,1
female,1983,5,1,313.0,183.3,1
male,2008,0,1,,,1
male,1980,1,2,510.0,375.0,7
male,2010,0,2,,,7
male,2013,0,2,,,7
male,1948,1,1,772.0,220.0,1
female,1950,1,1,941.0,30.0,1
female,1976,1,1,,,1
male,1977,5,1,,,1
male,1973,1,1,231.0,330.0,1
male,2008,0,1,,,1
male,1968,1,2,721.0,,1
female,1966,1,2,721.0,310.0,1
male,1998,0,2,,,1
female,2000,0,2,,,1
male,1938,1,2,,,1
female,1946,1,2,951.0,150.0,1
male,1970,5,2,799.0,,1
male,1973,5,2,,,1
male,1959,1,2,910.0,150.0,1
female,1964,1,2,951.0,100.0,1
female,1986,5,2,313.0,140.0,1
female,1988,5,2,,,1
